strategy,ticker,tf,rr,stop_mult,target_mult,long_only,n_trades,win_rate_pct,avg_r,expectancy_r,profit_factor,net_pnl_dollars,trades_per_day,max_consec_losses,max_dd_dollars,max_dd_pct,recovery_days,sharpe_R,kelly_pct,slip_atr_frac,survival_score,n_train,n_test,test_win_rate_pct,test_avg_r
donchian_55,GBPJPY,D1,1.0,1.5,1.5,True,60,53.33,-0.0303,-0.0303,0.839,-722.2,0.021,6,1408.33,1.4,,-0.03,6.67,0.05,-30.0,30,30,50.0,-0.0948
donchian_20,AUDUSD,D1,1.0,1.5,1.5,True,77,53.25,-0.05,-0.05,1.003,11.57,0.027,6,1028.68,1.02,,-0.05,6.49,0.05,-30.0,44,33,45.45,-0.2147
ema_cross_9_20,US30.cash,H1,1.0,1.5,1.5,True,175,53.14,-0.2788,-0.2788,0.618,-711.95,0.352,9,816.18,0.82,,-0.274,6.29,0.05,-30.0,113,62,58.06,-0.1413
ema_cross_9_20,EU50.cash,D1,1.0,1.5,1.5,True,32,53.12,-0.3179,-0.3179,0.544,-110.27,0.017,4,139.2,0.14,,-0.313,6.25,0.05,-30.0,18,14,42.86,-0.4616
donchian_20,EURJPY,D1,1.0,1.5,1.5,True,81,53.09,-0.0448,-0.0448,0.944,-248.75,0.029,5,719.12,0.72,634.0,-0.045,6.17,0.05,-30.0,45,36,52.78,-0.0446
ema_cross_9_20,NZDUSD,D1,1.0,1.5,1.5,True,49,53.06,-0.0315,-0.0315,1.031,67.04,0.017,4,545.75,0.54,,-0.032,6.12,0.05,-30.0,27,22,45.45,-0.1614
rsi_30_70,EURJPY,H1,1.0,1.5,1.5,True,85,52.94,-0.1803,-0.1803,0.716,-352.47,0.181,7,470.32,0.47,,-0.18,5.88,0.05,-30.0,54,31,61.29,-0.0306
rsi_30_70,GBPJPY,M15,1.0,1.5,1.5,True,91,52.75,-0.2781,-0.2781,0.689,-282.63,0.789,8,358.97,0.36,,-0.271,5.49,0.05,-30.0,57,34,47.06,-0.4293
ema_cross_12_26,USDJPY,M15,1.0,1.5,1.5,True,133,52.63,-0.4629,-0.4629,0.397,-542.57,1.153,6,578.22,0.58,,-0.455,5.26,0.05,-30.0,80,53,56.6,-0.4572
ema_pullback_20_50,XAUUSD,D1,1.0,1.5,1.5,True,209,52.63,-0.098,-0.098,0.959,-1499.7,0.074,5,5265.31,5.18,1516.0,-0.097,5.26,0.05,-30.0,100,109,53.21,-0.0937
rsi_30_70,XAUUSD,H1,1.0,1.5,1.5,True,82,52.44,-0.0347,-0.0347,0.948,-814.51,0.165,4,5358.59,5.32,,-0.035,4.88,0.05,-30.0,46,36,50.0,-0.0742
ema_cross_9_20,USDCHF,M15,1.0,1.5,1.5,True,187,52.41,-0.4376,-0.4376,0.418,-789.99,1.622,7,832.63,0.83,,-0.433,4.81,0.05,-30.0,113,74,55.41,-0.3885
rsi_30_70,NZDUSD,M15,1.0,1.5,1.5,True,105,52.38,-0.4827,-0.4827,0.391,-405.28,0.91,9,409.61,0.41,,-0.47,4.76,0.05,-30.0,61,44,56.82,-0.3771
donchian_20,GBPJPY,D1,1.0,1.5,1.5,True,90,52.22,-0.0513,-0.0513,0.89,-748.58,0.032,4,1329.16,1.32,,-0.051,4.44,0.05,-30.0,52,38,50.0,-0.0927
